analyte,unit,sex,age_band,n,median,p2_5,p97_5
androstenedione,ng/dL,female,18-27,575,128.0,47.37,303.95
androstenedione,ng/dL,female,28-37,588,113.0,43.225,304.25
androstenedione,ng/dL,female,38-47,584,82.55,30.433,213.975
androstenedione,ng/dL,female,48-57,645,52.6,16.78,148.8
androstenedione,ng/dL,female,58-67,695,45.6,12.035,126.95
androstenedione,ng/dL,female,68-77,416,42.7,13.0,109.625
androstenedione,ng/dL,female,78-87,294,40.65,9.4,113.375
androstenedione,ng/dL,female,under_18,1075,68.3,5.811,243.45
estradiol,pg/mL,female,18-27,560,58.35,1.727,1281.5
estradiol,pg/mL,female,28-37,572,81.25,7.362,4114.75
estradiol,pg/mL,female,38-47,567,79.3,2.801,409.0
estradiol,pg/mL,female,48-57,624,7.84,1.22,273.6
estradiol,pg/mL,female,58-67,663,6.02,1.22,36.19
estradiol,pg/mL,female,68-77,394,5.655,1.22,23.34
estradiol,pg/mL,female,78-87,277,4.29,1.22,22.76
estradiol,pg/mL,female,under_18,1035,26.6,1.22,273.15
fsh,mIU/mL,female,18-27,574,5.015,0.21,11.008
fsh,mIU/mL,female,28-37,586,5.47,0.21,11.909
fsh,mIU/mL,female,38-47,581,6.82,1.395,89.495
fsh,mIU/mL,female,48-57,643,52.44,3.851,127.895
fsh,mIU/mL,female,58-67,697,57.69,9.53,123.26
fsh,mIU/mL,female,68-77,416,58.155,20.29,131.35
fsh,mIU/mL,female,78-87,294,63.6,21.033,129.77
fsh,mIU/mL,female,under_18,879,4.21,0.73,9.831
lh,mIU/mL,female,18-27,575,6.61,0.07,37.32
lh,mIU/mL,female,28-37,587,6.77,0.07,33.659
lh,mIU/mL,female,38-47,583,7.22,0.751,57.438
lh,mIU/mL,female,48-57,645,31.67,4.001,75.452
lh,mIU/mL,female,58-67,697,30.22,7.022,62.782
lh,mIU/mL,female,68-77,416,27.835,9.334,60.763
lh,mIU/mL,female,78-87,294,29.5,8.891,60.386
lh,mIU/mL,female,under_18,916,3.69,0.07,24.247
progesterone,ng/dL,female,18-27,572,10.7,1.921,2501.75
progesterone,ng/dL,female,28-37,585,13.0,1.25,3976.0
progesterone,ng/dL,female,38-47,583,15.7,0.979,1992.5
progesterone,ng/dL,female,48-57,642,3.65,0.608,829.65
progesterone,ng/dL,female,58-67,685,2.73,0.608,17.19
progesterone,ng/dL,female,68-77,409,2.64,0.608,10.46
progesterone,ng/dL,female,78-87,291,2.78,0.608,10.925
progesterone,ng/dL,female,under_18,1073,5.03,0.608,1224.0
shbg,nmol/L,female,18-27,574,47.37,12.469,298.89
shbg,nmol/L,female,28-37,586,48.915,16.335,306.238
shbg,nmol/L,female,38-47,583,50.45,17.055,178.99
shbg,nmol/L,female,48-57,645,41.33,15.052,154.38
shbg,nmol/L,female,58-67,697,47.81,15.73,131.44
shbg,nmol/L,female,68-77,416,54.215,18.015,127.2
shbg,nmol/L,female,78-87,294,73.19,24.219,183.725
shbg,nmol/L,female,under_18,902,46.775,13.401,151.655
